regionID	logFC	logCPM	F	PValue	FDR	V1	V2	V3	V4	DMSO1	DMSO2	DMSO3	PDsiNanog1	PDsiNanog2	PDsiNanog3	t2i1	t2i2	t2i3
418	1374	-6.11333406419405	8.04172347543115	441.711503401422	2.52048723399229e-11	7.84879724665198e-08	chr18	61035160	61037400	chr18:61035160-61037400	1813.205676	2025.562254	1597.784889	1739.647853	1467.581824	1540.881478	39.8786	11.310659	21.383966
465	1416	-3.46241460994456	7.53097981647176	260.593764282309	6.13816277086986e-10	2.73060555264125e-07	chr19	3321620	3324120	chr19:3321620-3324120	930.846888	875.252468	860.605386	1297.832497	1199.066922	1455.266058	99.305533	169.22489	112.402876
1057	195	-1.61160872929717	8.70217813489434	273.999150693257	4.50270877178359e-10	2.73060555264125e-07	chr10	13472760	13475180	chr10:13472760-13475180	2390.396715	2378.774337	2112.395481	2316.622751	2238.370223	2235.099798	839.79537	681.685001	843.845099
1394	2252	-3.97266231723657	6.80466473379997	263.737871719147	5.70023417923488e-10	2.73060555264125e-07	chr5	128598660	128600400	chr5:128598660-128600400	1250.808403	1452.304162	1098.463175	248.520923	266.833025	236.480879	21.1122	13.05076	16.449208
1834	2649	3.77167013679925	7.28800226238291	291.751017012455	3.052638615279e-10	2.73060555264125e-07	chr7	130264820	130267080	chr7:130264820-130267080	920.984867	869.940508	642.081584	80.660291	95.297493	62.086136	1018.075475	1283.760367	1161.863301
2321	3087	-5.24630972399953	6.26542496292991	305.897988401476	2.27548889462804e-10	2.73060555264125e-07	chrX	86191280	86193000	chrX:86191280-86193000	139.161325	159.343737	129.495436	736.480049	690.906782	865.645908	28.1496	20.881216	14.804284
2576	513	3.23667571609933	7.60703958208751	284.506675339042	3.56727927425492e-10	2.73060555264125e-07	chr11	102604400	102607100	chr11:102604400-102607100	770.865985	578.569428	750.893836	143.880534	176.580619	169.649424	1797.66269	1446.459861	1677.272279
336	130	-4.29858114778858	7.00545148640716	251.455962913047	7.64915216372002e-10	2.97743247972802e-07	chr1	136948140	136949680	chr1:136948140-136949680	1497.353017	1500.486558	1126.790513	292.847766	332.980565	446.861632	16.4206	24.796457	16.449202
943	1847	2.88864756580103	7.7935982395374	243.266847887015	9.37833586412342e-10	3.2449042089867e-07	chr3	96596800	96598500	chr3:96596800-96598500	1398.735634	1167.003253	1432.094536	186.027338	139.0222	209.985468	1351.179053	1418.617978	1450.272787
1288	2157	-3.80986599366893	7.04259488655836	228.377352509361	1.38226387577834e-09	3.91306337197612e-07	chr5	37027500	37029840	chr5:37027500-37029840	1031.656069	980.912532	982.456669	622.755404	576.830039	820.960119	68.028199	40.457367	44.412849
2852	762	-3.0206334904195	7.74761564631562	229.940536383701	1.32562653187335e-09	3.91306337197612e-07	chr13	53475240	53476740	chr13:53475240-53476740	1946.066285	2041.117028	1658.261812	1028.236817	845.905608	734.751071	110.252601	88.310205	143.656441
628	1563	-2.74727011983738	7.27058744323969	221.018235156272	1.68946548277799e-09	4.38416292780888e-07	chr2	30800820	30802600	chr2:30800820-30802600	534.182305	546.70053	573.736835	1143.051926	1021.365504	1373.802999	172.025307	198.371659	190.262486
2741	662	-4.01869114930471	6.67244981822629	215.447414291985	1.97505274435416e-09	4.73101095839913e-07	chr12	87298800	87301360	chr12:87298800-87301360	856.609144	770.350877	694.239632	424.374642	464.154747	684.528729	37.5328	26.10152	39.478085
1833	2648	3.50898099283137	6.58821194598869	211.278871630065	2.22551261537624e-09	4.95017591734401e-07	chr7	130263020	130264520	chr7:130263020-130264520	426.249876	543.665638	429.403407	58.860216	65.587101	54.572531	579.411744	871.356015	721.572359
2014	2810	-4.28352955909468	7.13605698221202	206.959439868284	2.52458442702528e-09	5.24103727050448e-07	chr8	84183080	84185460	chr8:84183080-84185460	647.04512	474.237287	473.467816	980.276931	1078.543024	1397.134818	68.028201	82.219863	37.833174
1751	2574	-4.41750135587878	6.22581153154114	204.375951463091	2.72559297223888e-09	5.30468532221993e-07	chr7	65861110	65863740	chr7:65861110-65863740	360.504354	300.476749	195.254871	721.945529	596.73061	524.073798	23.458	33.170697	34.817485
486	1435	-4.82730282478576	5.99685981083763	198.350120270685	3.27065092522348e-09	5.37257029259291e-07	chr19	11817620	11819360	chr19:11817620-11819360	588.422447	507.62355	663.214332	244.160933	209.654448	295.403285	9.3832	11.745684	6.579682
681	1610	-3.03186851496362	8.56787605696869	214.064461886538	3.40829544583018e-09	5.37257029259291e-07	chr2	70476120	70477620	chr2:70476120-70477620	2573.935788	2489.556029	2526.06077	1951.107039	2073.561811	2314.189622	229.106454	393.263084	200.680364
1707	2534	-5.67387409231146	6.89094550402457	198.863550021169	3.45059106781818e-09	5.37257029259291e-07	chr7	30464740	30466430	chr7:30464740-30466430	212.303179	206.577742	155.799213	1081.829708	1027.951986	1521.80117	9.3832	41.327422	24.673803
1842	2656	-5.60359958085466	8.28888363700591	241.320969831375	2.97268876499514e-09	5.37257029259291e-07	chr7	132596260	132598180	chr7:132596260-132598180	2312.597209	2420.886161	2531.456222	1635.370898	1735.395937	1555.11806	21.503165	69.82159	15.900898
115	1100	2.12426042323383	8.12026142677091	191.920296212685	3.99629298884327e-09	5.92593160345617e-07	chr15	101076160	101078060	chr15:101076160-101078060	1129.726922	1038.389334	1218.516454	490.501753	460.791343	353.139393	2141.712814	1916.286929	1990.903763
430	1385	-1.59850295762094	8.79600584262833	185.892805643442	4.85025443194767e-09	6.25407775687894e-07	chr18	66290920	66292720	chr18:66290920-66292720	2783.499574	2875.395088	2430.512961	2023.411709	2320.774826	2427.882403	715.077255	929.214366	734.457938
1410	2267	-5.27765374085573	7.32298204495089	187.502984794922	5.11492035914493e-09	6.25407775687894e-07	chr5	138996900	138999300	chr5:138996900-138999300	1361.479516	1491.381682	1174.227785	603.862437	706.322681	953.436305	32.8412	22.186292	6.579682
1884	2694	2.96038561028126	6.82770117624787	183.642901100726	5.22177333586553e-09	6.25407775687894e-07	chr8	8659760	8661280	chr8:8659760-8661280	294.758932	263.865621	271.580727	127.16712	121.364141	126.940431	890.230214	1297.02845	921.704841
2593	529	-8.0960543193183	6.35234102224607	186.019679932767	5.16585583090694e-09	6.25407775687894e-07	chr11	108921180	108922700	chr11:108921180-108922700	597.736288	634.908827	499.771503	637.289245	390.439353	410.480097	0	5.220304	0
2637	569	-4.21673543436876	6.47302798574868	184.697605213374	5.04366701667365e-09	6.25407775687894e-07	chr11	120659480	120661760	chr11:120659480-120661760	769.22231	625.613909	741.451526	331.724564	371.379932	578.151795	17.984467	25.013973	30.156871
